Gene 1,Gene 2,Confidence Score
SPU_017635,SPU_005572,0.96012157
SPU_010295,SPU_005572,0.946568396
SPU_002320,SPU_005572,0.911574188
SPU_003102,SPU_005572,0.889713291
SPU_015358,SPU_005572,0.882600148
SPU_017725,SPU_005572,0.873971255
SPU_004702,SPU_022820,0.865623472
SPU_022163,SPU_005572,0.858952648
SPU_012914,SPU_005572,0.848500974
SPU_007981,SPU_022820,0.848090675
SPU_025346,SPU_005572,0.847842416
SPU_004217,SPU_022820,0.847001165
SPU_002791,SPU_022820,0.845072482
SPU_002874,SPU_022820,0.842851184
SPU_014332,SPU_005572,0.829410565
SPU_022678,SPU_022820,0.828272401
SPU_006421,SPU_005572,0.819991985
SPU_007644,SPU_022820,0.80962944
SPU_027053,SPU_022820,0.808567653
SPU_023037,SPU_022820,0.782621093
SPU_017837,SPU_005572,0.777107838
SPU_019332,SPU_022820,0.757798557
SPU_018056,SPU_022820,0.74874994
SPU_018355,SPU_022820,0.736827288
SPU_003704,SPU_022820,0.723360055
SPU_014332,SPU_021608,0.70021226
SPU_003470,SPU_009155,0.695751784
SPU_009831,SPU_009155,0.68582934
SPU_012384,SPU_021608,0.681644706
SPU_019002,SPU_021608,0.678934792
SPU_012253,SPU_021608,0.665841263
SPU_025346,SPU_009155,0.664661654
SPU_014793,SPU_009155,0.659581293
SPU_018391,SPU_022820,0.659579075
SPU_005435,SPU_022820,0.659413292
SPU_009642,SPU_009155,0.652860567
SPU_008528,SPU_022820,0.648443615
SPU_003470,SPU_005572,0.644173733
SPU_013569,SPU_005572,0.640747321
SPU_021557,SPU_005572,0.634676143
SPU_011635,SPU_009155,0.633262552
SPU_023090,SPU_002874,0.63180003
SPU_018056,SPU_002874,0.631211334
SPU_011189,SPU_009155,0.629876338
SPU_005358,SPU_021608,0.628806788
SPU_003102,SPU_021608,0.62591321
SPU_013689,SPU_009155,0.625608812
SPU_018355,SPU_002874,0.622266677
SPU_003704,SPU_002874,0.62200927
SPU_022678,SPU_002874,0.616053004
SPU_004217,SPU_002874,0.611567992
SPU_025584,SPU_009155,0.607376566
SPU_014793,SPU_018581,0.603756509
SPU_025113,SPU_009155,0.602025768
SPU_007644,SPU_002874,0.600163482
SPU_008117_1,SPU_021608,0.599855896
SPU_025584,SPU_018581,0.598983041
SPU_007611,SPU_022820,0.598589375
SPU_026465,SPU_002874,0.59767549
SPU_002129,SPU_005572,0.596513761
SPU_018355_1,SPU_002874,0.592636852
SPU_017837,SPU_021608,0.584986161
SPU_008117,SPU_009155,0.583521838
SPU_006753,SPU_005572,0.582543635
SPU_003470,SPU_002874,0.570120585
SPU_025346,SPU_018581,0.569401037
SPU_009831,SPU_002874,0.568671231
SPU_012914,SPU_021608,0.565649157
SPU_002791,SPU_002874,0.564038179
SPU_009642,SPU_018581,0.555276216
SPU_017837,SPU_009155,0.552952344
SPU_018392,SPU_022820,0.549078345
SPU_002603,SPU_006676,0.548766601
SPU_007981,SPU_002874,0.54748913
SPU_008117,SPU_021608,0.541812726
SPU_025113,SPU_021608,0.540137847
SPU_007262,SPU_009155,0.539476101
SPU_008117_1,SPU_009155,0.538161065
SPU_028255,SPU_006676,0.534429146
SPU_003166,SPU_006676,0.532907851
SPU_010295,SPU_021608,0.532532345
SPU_021172,SPU_006676,0.528095709
SPU_002320,SPU_021608,0.527821253
SPU_010295,SPU_009155,0.525309419
SPU_026633,SPU_006676,0.524598742
SPU_023366,SPU_021608,0.523108775
SPU_006462,SPU_006676,0.522635267
SPU_012490,SPU_006676,0.517172746
SPU_024189,SPU_006676,0.514097444
SPU_013015,SPU_006676,0.513470768
SPU_017725,SPU_021608,0.511591848
SPU_011635,SPU_002874,0.511379075
SPU_017635,SPU_021608,0.509749245
SPU_027235,SPU_006676,0.508436427
SPU_015374,SPU_006676,0.50349967
SPU_003704,SPU_018056,0.502111169
SPU_018483,SPU_006676,0.499903039
SPU_018355,SPU_018056,0.499186818
SPU_006803,SPU_006676,0.49790103
SPU_027053,SPU_002874,0.494822678
SPU_026465,SPU_018056,0.493807742
SPU_018355_1,SPU_018056,0.488532628
SPU_023090,SPU_018056,0.481941369
SPU_002592,SPU_006676,0.477980736
SPU_022678,SPU_018056,0.475593378
SPU_023037,SPU_002874,0.47171522
SPU_013689,SPU_018056,0.461834915
SPU_009831,SPU_025113,0.461551587
SPU_009642,SPU_018056,0.455070804
SPU_004217,SPU_018056,0.450905576
SPU_001262_2,SPU_018056,0.45041294
SPU_011635,SPU_025113,0.449345469
SPU_011189,SPU_025113,0.446934131
SPU_012546,SPU_021608,0.446233296
SPU_002874,SPU_008528,0.445831452
SPU_007644,SPU_008528,0.445344084
SPU_005572,SPU_010424,0.444491881
SPU_003470,SPU_025113,0.442234821
SPU_002320,SPU_010424,0.441879691
SPU_002791,SPU_008528,0.441543135
SPU_007981,SPU_008528,0.439201242
SPU_025346,SPU_025113,0.433825216
SPU_004217,SPU_008528,0.428069248
SPU_008117,SPU_025113,0.427724514
SPU_022163,SPU_021608,0.425477572
SPU_005572,SPU_021608,0.424523072
SPU_017635,SPU_010424,0.424341072
SPU_000739,SPU_006676,0.424124556
SPU_005572,SPU_018581,0.423134848
SPU_028093,SPU_018581,0.422897401
SPU_002791,SPU_025113,0.422404904
SPU_027053,SPU_008528,0.421450543
SPU_009831,SPU_008528,0.420260121
SPU_022678,SPU_008528,0.418637222
SPU_017837,SPU_025113,0.415250592
SPU_020722,SPU_009155,0.414818253
SPU_028827,SPU_006676,0.413821476
SPU_011635,SPU_008528,0.411351227
SPU_025113,SPU_019002,0.410594392
SPU_023090,SPU_008528,0.410329222
SPU_023037,SPU_008528,0.409954824
SPU_007644,SPU_018056,0.40570116
SPU_028827,SPU_005572,0.405600942
SPU_015358,SPU_021608,0.405238188
SPU_008117_1,SPU_025113,0.405208663
SPU_009831,SPU_018581,0.405040523
SPU_014332,SPU_020311,0.404114717
SPU_002129,SPU_010424,0.40397929
SPU_018056,SPU_008528,0.403954756
SPU_011189,SPU_008528,0.403733943
SPU_005358,SPU_019002,0.403691249
SPU_017635,SPU_019002,0.400060658
SPU_003470,SPU_018056,0.399822657
SPU_003102,SPU_019002,0.398816592
SPU_012384,SPU_020311,0.398717483
SPU_012469,SPU_005572,0.396185411
SPU_012648,SPU_002874,0.395302298
SPU_014793,SPU_025113,0.394881464
SPU_018355,SPU_008528,0.394211402
SPU_001262_2,SPU_018581,0.393848093
SPU_017837,SPU_019002,0.393378329
SPU_019002,SPU_020311,0.393104149
SPU_026465,SPU_019024,0.390000431
SPU_003704,SPU_008528,0.388856445
SPU_009642,SPU_025113,0.388661969
SPU_010295,SPU_019002,0.387438142
SPU_012253,SPU_020311,0.387419706
SPU_008117_1,SPU_019002,0.387328497
SPU_003704,SPU_019024,0.386545325
SPU_004723,SPU_025113,0.385923362
SPU_023177,SPU_015908,0.385873599
SPU_018355_1,SPU_019024,0.38577144
SPU_018355,SPU_019024,0.383483746
SPU_012203,SPU_015908,0.383020912
SPU_007262,SPU_019002,0.381423657
SPU_020123,SPU_015908,0.380106681
SPU_018056,SPU_019024,0.379299667
SPU_012772,SPU_015908,0.376499376
SPU_014332,SPU_019002,0.374923329
SPU_012648,SPU_008528,0.373458312
SPU_020565,SPU_015908,0.373404807
SPU_017837,SPU_000668,0.371760145
SPU_023090,SPU_019024,0.369613006
SPU_008117,SPU_000668,0.368929498
SPU_009642,SPU_019024,0.368495635
SPU_013689,SPU_019024,0.36590687
SPU_007262,SPU_000668,0.365837562
SPU_006991,SPU_005572,0.365557145
SPU_025584,SPU_025113,0.364975934
SPU_011635,SPU_019002,0.364516705
SPU_017837,SPU_020371,0.364240723
SPU_002874,SPU_018056,0.364175158
SPU_011174,SPU_015908,0.363581056
SPU_011189,SPU_000668,0.362724141
SPU_004723,SPU_000668,0.362585804
SPU_017725,SPU_010424,0.36200792
SPU_008752,SPU_015908,0.360416071
SPU_003102,SPU_025113,0.358618795
SPU_006583,SPU_015908,0.35853826
SPU_014793,SPU_019024,0.358295407
SPU_022820,SPU_002874,0.356986886
SPU_015243,SPU_005572,0.356901777
SPU_011189,SPU_019002,0.356689558
SPU_007262,SPU_020371,0.356282863
SPU_023366,SPU_019002,0.355990663
SPU_020722,SPU_000668,0.355721613
SPU_008117_1,SPU_000668,0.355520483
SPU_003102,SPU_020311,0.355435928
SPU_020722,SPU_019002,0.353714197
SPU_020722,SPU_020371,0.353595543
SPU_026465,SPU_008528,0.352643538
SPU_012648,SPU_020371,0.351755851
SPU_004148,SPU_020311,0.351278185
SPU_022678,SPU_019024,0.351201947
SPU_008703,SPU_015908,0.350470201
SPU_022820,SPU_008528,0.348916471
SPU_008117,SPU_020371,0.348041259
SPU_018391,SPU_020371,0.346052556
SPU_009831,SPU_019002,0.345096116
SPU_008117_1,SPU_020311,0.344881402
SPU_002791,SPU_018056,0.343673515
SPU_013689_1,SPU_005572,0.343314781
SPU_008845,SPU_020371,0.343222602
SPU_020722,SPU_025113,0.342626421
SPU_011189,SPU_020371,0.342064616
SPU_004723,SPU_019002,0.341866397
SPU_025113,SPU_000668,0.341001166
SPU_011635,SPU_020371,0.340457658
SPU_012546,SPU_009155,0.340224786
SPU_021608,SPU_020311,0.339487911
SPU_008117_1,SPU_020371,0.338972819
SPU_017837,SPU_020311,0.337479525
SPU_009831,SPU_000668,0.336963879
SPU_004723,SPU_020371,0.335842626
SPU_018391,SPU_008528,0.335709833
SPU_018581,SPU_019024,0.335180464
SPU_009831,SPU_021608,0.334375668
SPU_020123,SPU_006676,0.334354876
SPU_007981,SPU_018056,0.332301995
SPU_012914,SPU_020311,0.330401035
SPU_004217,SPU_019024,0.329770062
SPU_025113,SPU_020371,0.328943088
SPU_015358,SPU_018581,0.328791582
SPU_024307,SPU_015908,0.327960172
SPU_022820,SPU_020371,0.326679235
SPU_003102,SPU_000668,0.326218481
SPU_003102,SPU_020371,0.324339145
SPU_025113,SPU_000841,0.3218944
SPU_014802,SPU_015908,0.319217477
SPU_003470,SPU_019024,0.318544919
SPU_007611,SPU_008528,0.318059768
SPU_025113,SPU_020311,0.316274829
SPU_012384,SPU_019002,0.31602962
SPU_018391,SPU_002874,0.315403636
SPU_001657,SPU_015908,0.314818683
SPU_006991,SPU_010424,0.314630445
SPU_010424,SPU_027235,0.314381216
SPU_008117,SPU_020311,0.313643925
SPU_011635,SPU_018581,0.311561242
SPU_014793,SPU_019024_1,0.310490999
SPU_023366,SPU_020311,0.310149314
SPU_009831,SPU_020371,0.308556772
SPU_018581,SPU_019024_1,0.306393831
